name,formula,smiles,A,B,C,T1,T2,Delta T
benzene,C6H6,c1ccccc1,4.72583,1660.652,-1.461,333.4,373.5,40.1
benzene,C6H6,c1ccccc1,0.14591,39.165,-261.236,297.9,318,20.1
benzene,C6H6,c1ccccc1,4.60362,1701.073,20.806,421.56,554.8,133.24
benzene,C6H6,c1ccccc1,4.01814,1203.835,-53.226,287.7,354.07,66.37
n-hexane,C6H14,CCCCCC,3.45604,1044.038,-53.893,177.7,264.93,87.23
n-hexane,C6H14,CCCCCC,4.00266,1171.53,-48.784,286.18,342.69,56.51
n-heptane,C7H16,CCCCCCC,4.81803,1635.409,-27.338,185.29,295.6,110.31
n-heptane,C7H16,CCCCCCC,4.02832,1268.636,-56.199,299.07,372.43,73.36
n-octane,C8H18,CCCCCCCC,5.2012,1936.281,-20.143,216.59,297.1,80.51
n-octane,C8H18,CCCCCCCC,4.04867,1355.126,-63.633,326.08,399.72,73.64
n-nonane,C9H20,CCCCCCCCC,3.82489,1492.928,-55.895,219.7,307.73,88.03
n-nonane,C9H20,CCCCCCCCC,4.06245,1430.377,-71.355,343.49,424.94,81.45
n-decane,C10H22,CCCCCCCCCC,0.21021,440.616,-156.896,243.49,310.59,67.1
n-decane,C10H22,CCCCCCCCCC,4.07857,1501.268,-78.67,367.63,448.27,80.64
1-hexene,C6H12,C=CCCCC,3.99063,1152.971,-47.301,289.04,337.46,48.42
n-butane,C4H10,CCCC,4.70812,1200.475,-13.013,135.42,212.89,77.47
n-butane,C4H10,CCCC,4.35576,1175.581,-2.071,272.66,425,152.34
n-butane,C4H10,CCCC,3.85002,909.65,-36.146,195.11,272.81,77.7
2-butene,C4H8,CC=CC,3.98744,957.06,-36.504,203.06,295.91,92.85
2-butene,C4H8,CC=CC,4.0436,982.166,-30.775,201.7,274.13,72.43
1-heptene,C7H14,CCCCCC=C,4.21811,1400.674,-34.193,273.19,361.89,88.7
n-propane,C3H8,CCC,4.53678,1149.36,24.906,277.6,360.8,83.2
n-propane,C3H8,CCC,3.98292,819.296,-24.417,230.6,320.7,90.1
n-propane,C3H8,CCC,4.01158,834.26,-22.763,166.02,231.41,65.39
propene,C3H6,C=CC,3.97488,795.819,-24.884,165.81,225.98,60.17
methanol,CH4O,CO,5.15853,1569.613,-34.846,353.5,512.63,159.13
methanol,CH4O,CO,5.20409,1581.341,-33.5,288.1,356.83,68.73
methanol,CH4O,CO,5.31301,1676.569,-21.728,353,483,130
ethanol,C2H6O,CCO,4.92531,1432.526,-61.819,364.8,513.91,149.11
ethanol,C2H6O,CCO,5.24677,1598.673,-46.424,292.77,366.63,73.86
ethanol,C2H6O,CCO,5.37229,1670.409,-40.191,273,351.7,78.7
n-propanol,C3H8O,CCCO,4.87601,1441.629,-74.299,333.32,377.72,44.4
n-propanol,C3H8O,CCCO,5.31384,1690.864,-51.804,292.4,370.5,78.1
n-propanol,C3H8O,CCCO,4.59871,1300.491,-86.364,405.46,536.71,131.25
2-propanol,C3H8O,CC(C)O,4.57795,1221.423,-87.474,395.1,508.24,113.14
2-propanol,C3H8O,CC(C)O,4.861,1357.427,-75.814,329.92,362.41,32.49
acetone,C3H6O,CC(C)=O,4.42448,1312.253,-32.445,259.16,507.6,248.44
2-butanone,C4H8O,CCC(C)=O,3.9894,1150.207,-63.904,314.6,370.6,56
water,H2O,O,3.55959,643.748,-198.043,379,573,194
water,H2O,O,5.40221,1838.675,-31.737,273,303,30
water,H2O,O,5.20389,1733.926,-39.485,304,333,29
water,H2O,O,5.0768,1659.793,-45.854,334,363,29
water,H2O,O,5.08354,1663.125,-45.622,344,373,29
water,H2O,O,6.20963,2354.731,7.559,293,343,50
water,H2O,O,4.6543,1435.264,-64.848,255.9,373,117.1
